Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Communication skills,Data Science,Troubleshooting skills,Graphics Designing,Role
Excellent,Intermediate,Poor,Poor,Average,Not Interested,Intermediate,Beginner,Intermediate,Average,Intermediate,Professional,Intermediate,Intermediate,Not Interested,Professional,Not Interested,Helpdesk Engineer
Average,Professional,Average,Beginner,Average,Poor,Intermediate,Intermediate,Intermediate,Beginner,Poor,Not Interested,Beginner,Intermediate,Not Interested,Professional,Intermediate,Helpdesk Engineer
Not Interested,Poor,Poor,Poor,Average,Professional,Not Interested,Average,Poor,Poor,Intermediate,Average,Not Interested,Intermediate,Professional,Professional,Intermediate,Helpdesk Engineer
Beginner,Not Interested,Beginner,Not Interested,Average,Intermediate,Not Interested,Not Interested,Average,Beginner,Professional,Average,Professional,Intermediate,Professional,Professional,Intermediate,Helpdesk Engineer
Beginner,Intermediate,Average,Beginner,Average,Not Interested,Poor,Beginner,Not Interested,Beginner,Intermediate,Beginner,Average,Intermediate,Beginner,Professional,Beginner,Helpdesk Engineer
Beginner,Poor,Poor,Beginner,Average,Intermediate,Poor,Professional,Poor,Beginner,Not Interested,Not Interested,Poor,Intermediate,Not Interested,Professional,Excellent,Helpdesk Engineer
Not Interested,Average,Poor,Excellent,Average,Beginner,Professional,Poor,Not Interested,Poor,Not Interested,Professional,Beginner,Intermediate,Poor,Professional,Intermediate,Helpdesk Engineer
Average,Intermediate,Average,Poor,Average,Beginner,Poor,Intermediate,Average,Average,Beginner,Intermediate,Average,Intermediate,Poor,Professional,Intermediate,Helpdesk Engineer
Not Interested,Beginner,Professional,Average,Average,Beginner,Intermediate,Beginner,Beginner,Intermediate,Beginner,Intermediate,Poor,Intermediate,Average,Professional,Not Interested,Helpdesk Engineer
Poor,Average,Poor,Beginner,Average,Intermediate,Average,Intermediate,Not Interested,Not Interested,Not Interested,Poor,Professional,Intermediate,Intermediate,Professional,Average,Helpdesk Engineer
Average,Professional,Beginner,Excellent,Average,Average,Not Interested,Professional,Intermediate,Beginner,Intermediate,Not Interested,Not Interested,Intermediate,Not Interested,Professional,Intermediate,Helpdesk Engineer
Not Interested,Average,Poor,Not Interested,Average,Beginner,Intermediate,Excellent,Average,Average,Not Interested,Beginner,Poor,Intermediate,Intermediate,Professional,Poor,Helpdesk Engineer
Average,Poor,Beginner,Average,Average,Professional,Intermediate,Beginner,Intermediate,Beginner,Poor,Average,Beginner,Intermediate,Professional,Professional,Excellent,Helpdesk Engineer
Not Interested,Intermediate,Average,Beginner,Average,Professional,Average,Average,Not Interested,Beginner,Excellent,Beginner,Beginner,Intermediate,Intermediate,Professional,Professional,Helpdesk Engineer
Beginner,Not Interested,Not Interested,Intermediate,Average,Beginner,Poor,Poor,Beginner,Not Interested,Professional,Poor,Average,Intermediate,Average,Professional,Intermediate,Helpdesk Engineer
Not Interested,Not Interested,Professional,Intermediate,Average,Not Interested,Average,Not Interested,Average,Average,Excellent,Beginner,Poor,Intermediate,Beginner,Professional,Beginner,Helpdesk Engineer
Beginner,Average,Poor,Average,Average,Poor,Intermediate,Not Interested,Average,Beginner,Beginner,Intermediate,Poor,Intermediate,Professional,Professional,Beginner,Helpdesk Engineer
Beginner,Beginner,Professional,Poor,Average,Professional,Not Interested,Beginner,Excellent,Intermediate,Beginner,Average,Beginner,Intermediate,Beginner,Professional,Not Interested,Helpdesk Engineer
Intermediate,Average,Excellent,Professional,Average,Not Interested,Intermediate,Beginner,Beginner,Beginner,Average,Professional,Poor,Intermediate,Beginner,Professional,Not Interested,Helpdesk Engineer
Excellent,Beginner,Poor,Poor,Average,Beginner,Average,Professional,Excellent,Beginner,Beginner,Beginner,Excellent,Intermediate,Average,Professional,Beginner,Helpdesk Engineer
Average,Not Interested,Intermediate,Average,Average,Intermediate,Average,Beginner,Professional,Intermediate,Average,Excellent,Average,Intermediate,Intermediate,Professional,Beginner,Helpdesk Engineer
Beginner,Average,Intermediate,Beginner,Average,Average,Poor,Intermediate,Poor,Not Interested,Average,Poor,Beginner,Intermediate,Intermediate,Professional,Intermediate,Helpdesk Engineer
Intermediate,Poor,Average,Average,Average,Not Interested,Intermediate,Average,Professional,Beginner,Beginner,Not Interested,Excellent,Intermediate,Beginner,Professional,Average,Helpdesk Engineer
Not Interested,Excellent,Beginner,Beginner,Average,Not Interested,Excellent,Not Interested,Poor,Not Interested,Poor,Beginner,Professional,Intermediate,Excellent,Professional,Beginner,Helpdesk Engineer
Poor,Poor,Intermediate,Poor,Average,Professional,Average,Beginner,Beginner,Intermediate,Beginner,Intermediate,Beginner,Intermediate,Poor,Professional,Poor,Helpdesk Engineer
Poor,Not Interested,Average,Professional,Average,Average,Average,Not Interested,Excellent,Average,Beginner,Intermediate,Beginner,Intermediate,Poor,Professional,Professional,Helpdesk Engineer
Not Interested,Not Interested,Not Interested,Beginner,Average,Professional,Not Interested,Average,Average,Poor,Professional,Average,Beginner,Intermediate,Beginner,Professional,Intermediate,Helpdesk Engineer
Poor,Beginner,Beginner,Poor,Average,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,Average,Intermediate,Intermediate,Average,Professional,Excellent,Helpdesk Engineer
Beginner,Beginner,Poor,Poor,Average,Poor,Excellent,Beginner,Not Interested,Professional,Poor,Intermediate,Average,Intermediate,Beginner,Professional,Average,Helpdesk Engineer
Not Interested,Poor,Poor,Average,Average,Beginner,Not Interested,Intermediate,Not Interested,Professional,Poor,Beginner,Poor,Intermediate,Intermediate,Professional,Poor,Helpdesk Engineer
Professional,Intermediate,Poor,Intermediate,Average,Beginner,Poor,Excellent,Intermediate,Average,Beginner,Average,Not Interested,Intermediate,Professional,Professional,Average,Helpdesk Engineer
Average,Average,Intermediate,Poor,Average,Excellent,Beginner,Excellent,Beginner,Not Interested,Not Interested,Average,Poor,Intermediate,Intermediate,Professional,Average,Helpdesk Engineer
Poor,Excellent,Average,Professional,Average,Average,Professional,Beginner,Not Interested,Average,Intermediate,Beginner,Intermediate,Intermediate,Average,Professional,Beginner,Helpdesk Engineer
Average,Not Interested,Intermediate,Intermediate,Average,Professional,Excellent,Professional,Not Interested,Beginner,Average,Poor,Not Interested,Intermediate,Intermediate,Professional,Intermediate,Helpdesk Engineer
Poor,Professional,Average,Poor,Average,Average,Poor,Professional,Beginner,Average,Poor,Beginner,Intermediate,Intermediate,Beginner,Professional,Beginner,Helpdesk Engineer
Average,Beginner,Poor,Average,Average,Intermediate,Average,Poor,Poor,Intermediate,Professional,Not Interested,Not Interested,Intermediate,Intermediate,Professional,Beginner,Helpdesk Engineer
Poor,Intermediate,Intermediate,Average,Average,Beginner,Beginner,Average,Average,Excellent,Professional,Not Interested,Beginner,Intermediate,Intermediate,Professional,Not Interested,Helpdesk Engineer
Not Interested,Beginner,Not Interested,Beginner,Average,Professional,Poor,Average,Not Interested,Poor,Poor,Not Interested,Poor,Intermediate,Average,Professional,Not Interested,Helpdesk Engineer
Excellent,Average,Average,Average,Average,Average,Poor,Beginner,Intermediate,Average,Professional,Professional,Poor,Intermediate,Poor,Professional,Not Interested,Helpdesk Engineer
Average,Average,Not Interested,Not Interested,Average,Intermediate,Poor,Beginner,Not Interested,Average,Not Interested,Professional,Professional,Intermediate,Not Interested,Professional,Poor,Helpdesk Engineer
Average,Beginner,Average,Not Interested,Average,Average,Beginner,Beginner,Intermediate,Intermediate,Beginner,Poor,Intermediate,Intermediate,Not Interested,Professional,Average,Helpdesk Engineer
Beginner,Intermediate,Intermediate,Intermediate,Average,Beginner,Excellent,Intermediate,Not Interested,Beginner,Professional,Beginner,Professional,Intermediate,Poor,Professional,Excellent,Helpdesk Engineer
Professional,Intermediate,Average,Average,Average,Average,Intermediate,Intermediate,Poor,Average,Professional,Poor,Poor,Intermediate,Poor,Professional,Poor,Helpdesk Engineer
Beginner,Average,Professional,Not Interested,Average,Beginner,Poor,Intermediate,Not Interested,Beginner,Intermediate,Professional,Poor,Intermediate,Not Interested,Professional,Average,Helpdesk Engineer
Not Interested,Beginner,Average,Average,Average,Not Interested,Average,Excellent,Poor,Poor,Intermediate,Intermediate,Beginner,Intermediate,Professional,Professional,Average,Helpdesk Engineer
Not Interested,Beginner,Poor,Not Interested,Average,Not Interested,Beginner,Not Interested,Poor,Beginner,Beginner,Excellent,Beginner,Intermediate,Not Interested,Professional,Poor,Helpdesk Engineer
Poor,Average,Not Interested,Average,Average,Beginner,Intermediate,Beginner,Average,Intermediate,Poor,Intermediate,Average,Intermediate,Average,Professional,Not Interested,Helpdesk Engineer
Poor,Intermediate,Poor,Beginner,Average,Beginner,Average,Poor,Average,Average,Not Interested,Not Interested,Intermediate,Intermediate,Intermediate,Professional,Average,Helpdesk Engineer
Beginner,Intermediate,Not Interested,Excellent,Average,Poor,Excellent,Poor,Beginner,Excellent,Not Interested,Poor,Poor,Intermediate,Intermediate,Professional,Professional,Helpdesk Engineer
Poor,Average,Poor,Not Interested,Average,Intermediate,Beginner,Not Interested,Poor,Not Interested,Poor,Beginner,Average,Intermediate,Beginner,Professional,Poor,Helpdesk Engineer
Average,Not Interested,Not Interested,Intermediate,Average,Professional,Average,Beginner,Beginner,Poor,Intermediate,Not Interested,Intermediate,Intermediate,Professional,Professional,Poor,Helpdesk Engineer
Not Interested,Not Interested,Beginner,Intermediate,Average,Intermediate,Professional,Average,Intermediate,Beginner,Professional,Professional,Professional,Intermediate,Beginner,Professional,Beginner,Helpdesk Engineer
Beginner,Not Interested,Average,Poor,Average,Poor,Beginner,Not Interested,Professional,Not Interested,Average,Beginner,Intermediate,Intermediate,Average,Professional,Intermediate,Helpdesk Engineer
Beginner,Intermediate,Poor,Intermediate,Average,Professional,Intermediate,Average,Not Interested,Intermediate,Average,Professional,Not Interested,Intermediate,Average,Professional,Beginner,Helpdesk Engineer
Intermediate,Not Interested,Intermediate,Intermediate,Average,Not Interested,Excellent,Average,Not Interested,Not Interested,Beginner,Intermediate,Intermediate,Intermediate,Beginner,Professional,Poor,Helpdesk Engineer
Beginner,Poor,Excellent,Poor,Average,Not Interested,Intermediate,Beginner,Average,Beginner,Intermediate,Average,Beginner,Intermediate,Beginner,Professional,Beginner,Helpdesk Engineer
Intermediate,Poor,Professional,Intermediate,Average,Not Interested,Poor,Beginner,Intermediate,Excellent,Average,Poor,Beginner,Intermediate,Poor,Professional,Average,Helpdesk Engineer
Intermediate,Beginner,Beginner,Beginner,Average,Excellent,Average,Average,Not Interested,Beginner,Intermediate,Not Interested,Beginner,Intermediate,Beginner,Professional,Beginner,Helpdesk Engineer
Intermediate,Not Interested,Average,Average,Average,Excellent,Professional,Beginner,Poor,Beginner,Average,Average,Beginner,Intermediate,Professional,Professional,Intermediate,Helpdesk Engineer
Professional,Average,Professional,Not Interested,Average,Beginner,Beginner,Intermediate,Average,Intermediate,Intermediate,Average,Average,Intermediate,Beginner,Professional,Beginner,Helpdesk Engineer
Beginner,Beginner,Professional,Average,Average,Average,Beginner,Intermediate,Poor,Professional,Excellent,Average,Average,Intermediate,Not Interested,Professional,Intermediate,Helpdesk Engineer
Average,Beginner,Excellent,Professional,Average,Not Interested,Excellent,Professional,Professional,Not Interested,Beginner,Excellent,Poor,Intermediate,Beginner,Professional,Average,Helpdesk Engineer
Not Interested,Not Interested,Beginner,Excellent,Average,Not Interested,Poor,Professional,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Professional,Beginner,Helpdesk Engineer
Beginner,Poor,Average,Average,Average,Intermediate,Poor,Professional,Professional,Not Interested,Average,Poor,Professional,Intermediate,Average,Professional,Intermediate,Helpdesk Engineer
Not Interested,Beginner,Beginner,Poor,Average,Professional,Poor,Beginner,Beginner,Poor,Not Interested,Poor,Beginner,Intermediate,Excellent,Professional,Not Interested,Helpdesk Engineer
Professional,Poor,Beginner,Average,Average,Not Interested,Intermediate,Poor,Average,Intermediate,Not Interested,Not Interested,Beginner,Intermediate,Average,Professional,Beginner,Helpdesk Engineer
Professional,Beginner,Beginner,Beginner,Average,Poor,Average,Not Interested,Excellent,Beginner,Not Interested,Professional,Professional,Intermediate,Average,Professional,Professional,Helpdesk Engineer
Beginner,Professional,Intermediate,Intermediate,Average,Average,Intermediate,Beginner,Not Interested,Beginner,Not Interested,Intermediate,Professional,Intermediate,Not Interested,Professional,Beginner,Helpdesk Engineer
Intermediate,Intermediate,Not Interested,Not Interested,Average,Professional,Excellent,Beginner,Beginner,Average,Beginner,Not Interested,Beginner,Intermediate,Poor,Professional,Not Interested,Helpdesk Engineer
Beginner,Beginner,Average,Not Interested,Average,Intermediate,Beginner,Not Interested,Beginner,Poor,Intermediate,Average,Beginner,Intermediate,Average,Professional,Beginner,Helpdesk Engineer
